name,Latmax,Latmin,LatExt
Abudefduf bengalensis,31.193333,-32,63.193332999999996
Abudefduf sexfasciatus,28.4733333333333,-33.833,62.3063333333333
Abudefduf sordidus,38.685283,-34.67,73.355283
Abudefduf vaigiensis,35.25,-35.2243,70.4743
Abudefduf whitleyi,-8.933,-31.516,22.583
Acanthochromis polyacanthus,13.63082,-31.53333,45.16415
Acanthurus albipectoralis,-14.5494165421,-23.8908833333333,9.3414667912333
Acanthurus dussumieri,34.0983333333333,-35.2259,69.3242333333333
Acanthurus leucosternon,12,-27.83,39.83
Acanthurus lineatus,26.83,-32.466,59.296
Acanthurus mata,22.47,-33.5999984741,56.0699984741
Acanthurus nigrofuscus,29.3991,-32.150002,61.549102000000005
Acanthurus olivaceus,34.045,-33.85,67.89500000000001
Acanthurus triostegus,28.4536495209,-34.0666999817,62.5203495026
Amphichaetodon howensis,-28.033,-38.15,10.116999999999997
Anampses caeruleopunctatus,34.3333333333333,-33.9667015076,68.30003484093331
Anampses geographicus,21.96,-33.833,55.793
Anampses neoguinaicus,21.98,-36.25,58.230000000000004
Apogon apogonoides,34.12,-32.1500015259,66.2700015259
Arothron hispidus,41.451283,-34.1833000183,75.63458301829999
Aspidontus taeniatus,34.0983333333333,-35.0316,69.1299333333333
Brachaelurus waddi,9.10833263397,-35.217,44.32533263397
Caesio caerulaurea,28.2575,-30.9032993317,59.160799331700005
Canthigaster bennetti,15,-32.433,47.433
Centropyge flavicauda,27.105,-33.833,60.938
Centropyge tibicen,34.0983333333333,-33.966,68.06433333333331
Centropyge vrolikii,34.0983333333333,-29.91333,64.0116633333333
Cephalopholis sonnerati,23.9400005341,-34.5536994934,58.493700027500005
Chaetodon auriga,33.694517,-39,72.69451699999999
Chaetodon citrinellus,34.0983333333333,-32.433,66.5313333333333
Chaetodon flavirostris,-14.5701166666667,-33.85,19.279883333333302
Chaetodon guentheri,27.105,-35.05,62.155
Chaetodon kleinii,34.0983333333333,-33.833,67.9313333333333
Chaetodon lineolatus,27.3139,-31.533,58.846900000000005
Chaetodon lunula,26.8003,-34.5,61.3003
Chaetodon melannotus,33.694517,-34.5,68.19451699999999
Chaetodon pelewensis,-9.033,-31.533,22.5
Chaetodon unimaculatus,34.0983333333333,-23.8908833333333,57.9892166666666
Chaetodon vagabundus,34.0983333333333,-33.833,67.9313333333333
Chaetodontoplus conspicillatus,-18.4675,-31.533,13.0655
Cheilodactylus vittatus,28.4536323547,-32.7,61.15363235470001
Chelmonops truncatus,-25,-36.7,11.700000000000003
Choerodon cephalotes,-9.33333,-27.389026,18.055696
Chromis iomelas,-5.344722,-23.5,18.155278
Chromis margaritifer,34.12,-31.51611,65.63611
Chromis nitida,-9.9,-34.083,24.183
Chromis weberi,34.0983333333333,-33.258333,67.3566663333333
Chrysiptera biocellata,70.15,-30.483334,100.633334
Chrysiptera brownriggi,31.3833333333333,-33.85,65.2333333333333
Chrysiptera flavipinnis,-3.75,-34.6,30.85
Chrysiptera rex,28.4733333333333,-23.8908833333333,52.3642166666666
Chrysiptera starcki,34.0983333333333,-33.833,67.9313333333333
Cirrhilabrus punctatus,13.51616,-36.25,49.76616
Cirrhitichthys aprinus,24.58,-33.966,58.546
Cirrhitichthys falco,22.38,-33.85,56.230000000000004
Coris dorsomacula,27.020278,-35.2243,62.244578000000004
Ctenochaetus binotatus,24.58,-29.933,54.513
Ctenochaetus striatus,28.4733333333333,-30.3033008575,58.7766341908333
Dascyllus trimaculatus,34.0983333333333,-33.833,67.9313333333333
Diproctacanthus xanthurus,13.47782,-17.733,31.21082
